Animal,Class,Scientific Name,Sound / Vocalization,Emotion Label,Context / Trigger
African Elephant,Mammal,Loxodonta africana,"Trumpet, rumble",Alarm/Excited,
White-throated Kingfisher,Bird,Halcyon smyrnensis,Fleeing chatter,Fear/Escape,
Fishing Cat,Mammal,Prionailurus viverrinus,Mating call (vocal),Courtship/Excited,
Common Kingfisher variant 10,Bird,Alcedo atthis,Mobbing calls,Group Alarm,
Common Myna,Bird,Acridotheres tristis,"Song, melodious trills",Courtship/Excited,
Barasingha,Mammal,Rucervus duvaucelii,"Growl, snarl",Aggression,when threatened
Rose-ringed Parakeet variant 5,Bird,Psittacula krameri,Fleeing chatter,Fear/Escape,
Hilsa,Fish,Tenualosa ilisha,Rapid splash,Alarm/Escape,near nesting site
Red Panda,Mammal,Ailurus fulgens,"Growl, snarl",Aggression,
Tilapia,Fish,Oreochromis niloticus,Low hum (sonar-like),Communication,
Barn Owl variant 14,Bird,Tyto alba,"Alarm call, harsh chips",Alarm/Alert,during foraging
Arctic Fox,Mammal,Vulpes lagopus,Hiss,Threat/Avoidance,near nesting site
Indian Leopard variant 36,Mammal,Panthera pardus fusca,"Purr, contented vocalization",Contentment/Relaxed,
Asian Koel,Bird,Eudynamys scolopaceus,Distress squeal,Distress/Separation,at dawn
Gray Wolf,Mammal,Canis lupus,Chittering,Playful,
Barn Owl variant 14,Bird,Tyto alba,Mobbing calls,Group Alarm,
Leopard Cat variant 61,Mammal,Prionailurus bengalensis,Mating call (vocal),Courtship/Excited,
Great Indian Bustard,Bird,Ardeotis nigriceps,Purring or soft chatter,Affiliative/Relaxed,
Gaur variant 39,Mammal,Bos gaurus,"Whine, whimper",Distress/Anxious,
Indian Wolf,Mammal,Canis lupus pallipes,Loud bawl,Distress/Alarm,
Indian Rhinoceros,Mammal,Rhinoceros unicornis,"Trumpet, rumble",Alarm/Excited,
Hanuman Langur variant 45,Mammal,Semnopithecus entellus,Mating call (vocal),Courtship/Excited,
Indian Leopard,Mammal,Panthera pardus fusca,Loud bawl,Distress/Alarm,
Barasingha,Mammal,Rucervus duvaucelii,Chittering,Playful,
Sambar Deer variant 40,Mammal,Rusa unicolor,Mating call (vocal),Courtship/Excited,
Chital,Mammal,Axis axis,"Bark, woof",Alert/Excited,near nesting site
Rhesus Macaque variant 43,Mammal,Macaca mulatta,Hiss,Threat/Avoidance,
Sarus Crane,Bird,Grus antigone,Wing-flap displays,Excitement/Display,
Hanuman Langur,Mammal,Semnopithecus entellus,Sniffing/grunting,Exploration/Foraging,
Rhesus Macaque,Mammal,Macaca mulatta,"Trumpet, rumble",Alarm/Excited,
Common Krait variant 70,Reptile,Bungarus caeruleus,Splash (aquatic),Startle/Escape,near nesting site
African Elephant,Mammal,Loxodonta africana,Chittering,Playful,in presence of human
Indian Rhinoceros,Mammal,Rhinoceros unicornis,Mating call (vocal),Courtship/Excited,
Fishing Cat,Mammal,Prionailurus viverrinus,"Growl, snarl",Aggression,
Asiatic Lion variant 37,Mammal,Panthera leo persica,Sniffing/grunting,Exploration/Foraging,
Indian Grey Mongoose variant 63,Mammal,Herpestes edwardsii,"Growl, snarl",Aggression,
House Crow,Bird,Corvus splendens,"Mimicry, learned sounds",Curiosity/Exploration,at dawn
Golden Jackal,Mammal,Canis aureus,Hiss,Threat/Avoidance,
Red Panda,Mammal,Ailurus fulgens,"Roar, long call",Territorial/Aggressive,in presence of human
Indian Grey Hornbill variant 16,Bird,Ocyceros birostris,"Chirp, cheep",Contact/Neutral,in presence of human
Indian Hare,Mammal,Lepus nigricollis,"Trumpet, rumble",Alarm/Excited,
Fishing Cat variant 60,Mammal,Prionailurus viverrinus,"Trumpet, rumble",Alarm/Excited,at dusk
Star Tortoise,Reptile,Geochelone elegans,Rattle (some species),Warning,when separated from group
Saw-scaled Viper variant 72,Reptile,Echis carinatus,Vocal chirp (rare),Contact,
Arctic Fox,Mammal,Vulpes lagopus,"Bark, woof",Alert/Excited,
Saltwater Crocodile,Reptile,Crocodylus porosus,Splash (aquatic),Startle/Escape,at dusk
Chital variant 41,Mammal,Axis axis,"Whine, whimper",Distress/Anxious,
Star Tortoise variant 78,Reptile,Geochelone elegans,Breathing sound,Relaxed,at dusk
Indian Palm Squirrel variant 46,Mammal,Funambulus palmarum,Loud bawl,Distress/Alarm,
Fantail Flycatcher,Bird,Rhipidura,Mobbing calls,Group Alarm,
Hanuman Langur variant 45,Mammal,Semnopithecus entellus,"Purr, contented vocalization",Contentment/Relaxed,during mating display
Sloth Bear variant 38,Mammal,Melursus ursinus,"Purr, contented vocalization",Contentment/Relaxed,
Domestic Dog,Mammal,Canis familiaris,Mating call (vocal),Courtship/Excited,
Clownfish,Fish,Amphiprioninae,Grunting (some),Aggression,during mating display
Rusty-spotted Cat,Mammal,Prionailurus rubiginosus,"Bark, woof",Alert/Excited,
Little Egret variant 31,Bird,Egretta garzetta,Distress squeal,Distress/Separation,
Pied Bushchat variant 21,Bird,Saxicola caprata,Wing-flap displays,Excitement/Display,
Nilgai,Mammal,Boselaphus tragocamelus,Loud bawl,Distress/Alarm,during mating display
Rock Pigeon,Bird,Columba livia,Bill-clacking,Threat,
Indian Grey Mongoose variant 63,Mammal,Herpestes edwardsii,Hiss,Threat/Avoidance,in presence of human
Garden Lizard,Reptile,Calotes versicolor,Silent (body-language),Neutral/Calm,
Common Krait variant 70,Reptile,Bungarus caeruleus,Vocal chirp (rare),Contact,
Asian Openbill variant 30,Bird,Anastomus oscitans,Distress squeal,Distress/Separation,
Black Drongo,Bird,Dicrurus macrocercus,Mobbing calls,Group Alarm,
Small Indian Civet,Mammal,Viverricula indica,"Squeak, contact call",Contact/Neutral,
Green Bee-eater,Bird,Merops orientalis,Distress squeal,Distress/Separation,
House Sparrow,Bird,Passer domesticus,Mobbing calls,Group Alarm,at dusk
Star Tortoise,Reptile,Geochelone elegans,Slow low moan,Distress,
Cattle Egret variant 11,Bird,Bubulcus ibis,"Mimicry, learned sounds",Curiosity/Exploration,
Leopard Cat,Mammal,Prionailurus bengalensis,"Whine, whimper",Distress/Anxious,
Saltwater Crocodile,Reptile,Crocodylus porosus,Vocal chirp (rare),Contact,
Gaur,Mammal,Bos gaurus,"Growl, snarl",Aggression,
Eurasian Eagle-Owl,Bird,Bubo bubo,"Alarm call, harsh chips",Alarm/Alert,
White-throated Kingfisher,Bird,Halcyon smyrnensis,Wing-flap displays,Excitement/Display,in presence of human
Asiatic Lion,Mammal,Panthera leo persica,Hiss,Threat/Avoidance,
Sambar Deer,Mammal,Rusa unicolor,Mating call (vocal),Courtship/Excited,
Sloth Bear variant 38,Mammal,Melursus ursinus,Chittering,Playful,in presence of human
White Rhinoceros,Mammal,Ceratotherium simum,"Purr, contented vocalization",Contentment/Relaxed,
Bar-headed Goose variant 20,Bird,Anser indicus,Distress squeal,Distress/Separation,at dusk
Butterfly,Insect,Lepidoptera,Silent (still),Camouflage/Hide,at dawn
Gharial variant 77,Reptile,Gavialis gangeticus,Splash (aquatic),Startle/Escape,near nesting site
Indian Peafowl variant 1,Bird,Pavo cristatus,Fleeing chatter,Fear/Escape,
Common Myna variant 2,Bird,Acridotheres tristis,Fleeing chatter,Fear/Escape,
Pied Bushchat variant 21,Bird,Saxicola caprata,Bill-clacking,Threat,near nesting site
Asian Openbill variant 30,Bird,Anastomus oscitans,Wing-flap displays,Excitement/Display,
Golden Jackal variant 52,Mammal,Canis aureus,"Purr, contented vocalization",Contentment/Relaxed,
Fantail variant 33,Bird,Rhipidura sp.,"Alarm call, harsh chips",Alarm/Alert,
Plover variant 23,Bird,Charadriidae sp.,Aggressive scolding,Aggression/Defense,in presence of human
Indian Vulture variant 28,Bird,Gyps indicus,Aggressive scolding,Aggression/Defense,at dusk
Green Bee-eater,Bird,Merops orientalis,Soft contact calls,Content/Comfort,
Indian Leopard,Mammal,Panthera pardus fusca,Mating call (vocal),Courtship/Excited,
Cattle Egret variant 11,Bird,Bubulcus ibis,Wing-flap displays,Excitement/Display,at dawn
Indian Courser,Bird,Cursorius coromandelicus,"Alarm call, harsh chips",Alarm/Alert,during foraging
King Cobra,Reptile,Ophiophagus hannah,Splash (aquatic),Startle/Escape,
Indian Bullfrog,Amphibian,Hoplobatrachus tigerinus,Soft trills,Contact,
Indian Leopard variant 36,Mammal,Panthera pardus fusca,Hiss,Threat/Avoidance,
Wild Ass,Mammal,Equus hemionus,"Whine, whimper",Distress/Anxious,
Indian Roller,Bird,Coracias benghalensis,"Song, melodious trills",Courtship/Excited,
Domestic Sheep variant 57,Mammal,Ovis aries,"Roar, long call",Territorial/Aggressive,during mating display
Small Indian Civet,Mammal,Viverricula indica,Loud bawl,Distress/Alarm,
Indian Grey Mongoose variant 63,Mammal,Herpestes edwardsii,Loud bawl,Distress/Alarm,
House Crow,Bird,Corvus splendens,Mobbing calls,Group Alarm,
Bengal Tiger variant 35,Mammal,Panthera tigris tigris,"Purr, contented vocalization",Contentment/Relaxed,
Snow Leopard,Mammal,Panthera uncia,"Purr, contented vocalization",Contentment/Relaxed,at dawn
Plover variant 23,Bird,Charadriidae sp.,Soft contact calls,Content/Comfort,
Black-headed Ibis variant 29,Bird,Threskiornis melanocephalus,"Alarm call, harsh chips",Alarm/Alert,
Gray Wolf,Mammal,Canis lupus,Loud bawl,Distress/Alarm,when threatened
Indian Pond Heron,Bird,Ardeola grayii,Distress squeal,Distress/Separation,
Mugger Crocodile variant 74,Reptile,Crocodylus palustris,Low growl-like hiss,Alarm/Alert,
Catla,Fish,Catla catla,Clicking (some),Courtship/Display,near nesting site
Brown Palm Civet variant 67,Mammal,Paradoxurus jerdoni,"Roar, long call",Territorial/Aggressive,
Dhole variant 51,Mammal,Cuon alpinus,Loud bawl,Distress/Alarm,
Guppy,Fish,Poecilia reticulata,Rapid splash,Alarm/Escape,
Giant Panda,Mammal,Ailuropoda melanoleuca,Mating call (vocal),Courtship/Excited,
Indian Hare,Mammal,Lepus nigricollis,"Bark, woof",Alert/Excited,
Small Indian Civet,Mammal,Viverricula indica,"Growl, snarl",Aggression,
Indian Peafowl,Bird,Pavo cristatus,Distress squeal,Distress/Separation,
Tilapia,Fish,Oreochromis niloticus,Fleeing dash,Fear,at dusk
Indian Hare variant 49,Mammal,Lepus nigricollis,"Growl, snarl",Aggression,
Plover,Bird,Charadriidae sp.,Bill-clacking,Threat,
Bengal Tiger,Mammal,Panthera tigris tigris,Chittering,Playful,
Gaur variant 39,Mammal,Bos gaurus,"Bark, woof",Alert/Excited,at dusk
Nilgiri Tahr,Mammal,Nilgiritragus hylocrius,"Growl, snarl",Aggression,
Water Buffalo,Mammal,Bubalus bubalis,Loud bawl,Distress/Alarm,
Common Myna,Bird,Acridotheres tristis,Purring or soft chatter,Affiliative/Relaxed,
Fishing Cat,Mammal,Prionailurus viverrinus,"Whine, whimper",Distress/Anxious,
Olive Ridley Turtle,Reptile,Lepidochelys olivacea,Rattle (some species),Warning,
Moorhen variant 26,Bird,Gallinula chloropus,"Chirp, cheep",Contact/Neutral,
Greater Coucal,Bird,Centropus sinensis,"Mimicry, learned sounds",Curiosity/Exploration,
Indian Vulture variant 28,Bird,Gyps indicus,"Alarm call, harsh chips",Alarm/Alert,
Polar Bear,Mammal,Ursus maritimus,"Growl, snarl",Aggression,
Green Bee-eater,Bird,Merops orientalis,"Song, melodious trills",Courtship/Excited,
Indian Palm Squirrel,Mammal,Funambulus palmarum,Chittering,Playful,
Tree Frog,Amphibian,Rhacophoridae sp.,Flood-call,Alarm/Startle,when separated from group
Little Egret variant 31,Bird,Egretta garzetta,Mobbing calls,Group Alarm,
Indian Vulture,Bird,Gyps indicus,Distress squeal,Distress/Separation,
Black Drongo,Bird,Dicrurus macrocercus,Soft contact calls,Content/Comfort,when separated from group
Indian Nightjar variant 32,Bird,Caprimulgus asiaticus,Aggressive scolding,Aggression/Defense,when separated from group
Butterfly,Insect,Lepidoptera,Wingbeat staccato,Aggression,
Common Krait,Reptile,Bungarus caeruleus,Tongue-flick (non-vocal),Exploration,
Common Carp,Fish,Cyprinus carpio,Mating vibration,Courtship,
Common Toad,Amphibian,Duttaphrynus melanostictus,Night chorus,Group Mating,
Black Drongo,Bird,Dicrurus macrocercus,Fleeing chatter,Fear/Escape,
Domestic Sheep variant 57,Mammal,Ovis aries,"Roar, long call",Territorial/Aggressive,during mating display
Himalayan Tahr variant 54,Mammal,Hemitragus jemlahicus,Mating call (vocal),Courtship/Excited,in presence of human
Hilsa,Fish,Tenualosa ilisha,Mating vibration,Courtship,
Indian Nightjar variant 32,Bird,Caprimulgus asiaticus,Wing-flap displays,Excitement/Display,
Wild Boar variant 53,Mammal,Sus scrofa cristatus,"Trumpet, rumble",Alarm/Excited,
Fantail variant 33,Bird,Rhipidura sp.,"Chirp, cheep",Contact/Neutral,
Indian Grey Mongoose variant 63,Mammal,Herpestes edwardsii,"Bark, woof",Alert/Excited,
Saltwater Crocodile variant 75,Reptile,Crocodylus porosus,Hiss,Threat/Defense,near nesting site
Kangaroo,Mammal,Macropus,"Purr, contented vocalization",Contentment/Relaxed,at dawn
Eurasian Eagle-Owl variant 15,Bird,Bubo bubo,"Chirp, cheep",Contact/Neutral,
Mugger Crocodile variant 74,Reptile,Crocodylus palustris,Jaw clack,Threat,at dusk
Spoonbill,Bird,Platalea leucorodia,"Alarm call, harsh chips",Alarm/Alert,
Mugger Crocodile variant 74,Reptile,Crocodylus palustris,Aggressive lunge sound,Aggression,
King Cobra variant 69,Reptile,Ophiophagus hannah,Tongue-flick (non-vocal),Exploration,near nesting site
Bonnet Macaque variant 44,Mammal,Macaca radiata,"Growl, snarl",Aggression,when threatened
Bengal Fox variant 65,Mammal,Vulpes bengalensis,Mating call (vocal),Courtship/Excited,when threatened
Star Tortoise,Reptile,Geochelone elegans,Silent (body-language),Neutral/Calm,
Striped Hyena variant 66,Mammal,Hyaena hyaena,"Growl, snarl",Aggression,when separated from group
Indian Vulture,Bird,Gyps indicus,"Mimicry, learned sounds",Curiosity/Exploration,
Golden Jackal variant 52,Mammal,Canis aureus,Chittering,Playful,
Indian Palm Squirrel,Mammal,Funambulus palmarum,Loud bawl,Distress/Alarm,during thunder
Fantail Flycatcher,Bird,Rhipidura,"Song, melodious trills",Courtship/Excited,
Indian Nightjar,Bird,Caprimulgus asiaticus,"Alarm call, harsh chips",Alarm/Alert,
Common Kingfisher variant 10,Bird,Alcedo atthis,Wing-flap displays,Excitement/Display,when threatened
Wild Boar variant 53,Mammal,Sus scrofa cristatus,Loud bawl,Distress/Alarm,
Bar-headed Goose,Bird,Anser indicus,Soft contact calls,Content/Comfort,
Barn Owl variant 14,Bird,Tyto alba,"Song, melodious trills",Courtship/Excited,
Star Tortoise,Reptile,Geochelone elegans,Hiss,Threat/Defense,during mating display
Small Indian Civet variant 64,Mammal,Viverricula indica,"Bark, woof",Alert/Excited,when threatened
Moorhen,Bird,Gallinula chloropus,"Chirp, cheep",Contact/Neutral,
Asian Koel,Bird,Eudynamys scolopaceus,Aggressive scolding,Aggression/Defense,
Rock Pigeon variant 6,Bird,Columba livia,"Chirp, cheep",Contact/Neutral,when separated from group
Musk Deer,Mammal,Moschus moschiferus,"Growl, snarl",Aggression,
Common Carp,Fish,Cyprinus carpio,Low hum (sonar-like),Communication,
Water Buffalo,Mammal,Bubalus bubalis,"Growl, snarl",Aggression,
Gharial,Reptile,Gavialis gangeticus,Aggressive lunge sound,Aggression,when threatened
Asian Openbill,Bird,Anastomus oscitans,"Mimicry, learned sounds",Curiosity/Exploration,
Indian Flying Fox,Mammal,Pteropus giganteus,"Whine, whimper",Distress/Anxious,
Nilgai variant 42,Mammal,Boselaphus tragocamelus,"Bark, woof",Alert/Excited,
Indian Rock Python,Reptile,Python molurus,Tongue-flick (non-vocal),Exploration,
Rohu,Fish,Labeo rohita,Fleeing dash,Fear,
Rhesus Macaque variant 43,Mammal,Macaca mulatta,Sniffing/grunting,Exploration/Foraging,when separated from group
Common Myna variant 2,Bird,Acridotheres tristis,"Alarm call, harsh chips",Alarm/Alert,
Domestic Dog variant 58,Mammal,Canis familiaris,"Growl, snarl",Aggression,
Brown Palm Civet,Mammal,Paradoxurus jerdoni,Loud bawl,Distress/Alarm,
Small Indian Civet,Mammal,Viverricula indica,Mating call (vocal),Courtship/Excited,
Wild Yak,Mammal,Bos grunniens,"Growl, snarl",Aggression,
Rose-ringed Parakeet variant 5,Bird,Psittacula krameri,Bill-clacking,Threat,
Walking Catfish,Fish,Clarias batrachus,Low hum (sonar-like),Communication,during mating display
Asian Openbill variant 30,Bird,Anastomus oscitans,"Alarm call, harsh chips",Alarm/Alert,
Guppy,Fish,Poecilia reticulata,Tail slap,Threat/Startle,
Spoonbill,Bird,Platalea leucorodia,Bill-clacking,Threat,in presence of human
Pied Bushchat variant 21,Bird,Saxicola caprata,Distress squeal,Distress/Separation,during foraging
Dhole variant 51,Mammal,Cuon alpinus,Hiss,Threat/Avoidance,
Tree Sparrow variant 25,Bird,Passer montanus,"Alarm call, harsh chips",Alarm/Alert,
Common Kingfisher,Bird,Alcedo atthis,Mobbing calls,Group Alarm,when threatened
Indian Monitor Lizard,Reptile,Varanus bengalensis,Aggressive lunge sound,Aggression,during foraging
Indian Pangolin variant 48,Mammal,Manis crassicaudata,"Bark, woof",Alert/Excited,
Barasingha,Mammal,Rucervus duvaucelii,"Purr, contented vocalization",Contentment/Relaxed,
Hilsa,Fish,Tenualosa ilisha,Calm bubbling,Neutral,
Black-headed Ibis,Bird,Threskiornis melanocephalus,Purring or soft chatter,Affiliative/Relaxed,
Hilsa,Fish,Tenualosa ilisha,Distress thrashing,Distress,
Domestic Goat,Mammal,Capra hircus,Mating call (vocal),Courtship/Excited,during mating display
Indian Rock Python,Reptile,Python molurus,Aggressive lunge sound,Aggression,
Asian Koel variant 3,Bird,Eudynamys scolopaceus,Soft contact calls,Content/Comfort,
Catla,Fish,Catla catla,"Blub, gulp",Neutral/Contact,
African Elephant,Mammal,Loxodonta africana,Loud bawl,Distress/Alarm,in presence of human
Water Buffalo variant 55,Mammal,Bubalus bubalis,Loud bawl,Distress/Alarm,at dawn
Cattle Egret,Bird,Bubulcus ibis,Wing-flap displays,Excitement/Display,
Woodpecker,Bird,Picidae sp.,"Alarm call, harsh chips",Alarm/Alert,
Indian Hare variant 49,Mammal,Lepus nigricollis,Chittering,Playful,
Indian Grey Hornbill variant 16,Bird,Ocyceros birostris,"Mimicry, learned sounds",Curiosity/Exploration,at dusk
Indian Grey Mongoose variant 63,Mammal,Herpestes edwardsii,Mating call (vocal),Courtship/Excited,
Bar-headed Goose variant 20,Bird,Anser indicus,Wing-flap displays,Excitement/Display,
House Sparrow variant 0,Bird,Passer domesticus,"Alarm call, harsh chips",Alarm/Alert,
Indian Peafowl,Bird,Pavo cristatus,"Mimicry, learned sounds",Curiosity/Exploration,
Domestic Cat,Mammal,Felis catus,"Purr, contented vocalization",Contentment/Relaxed,
Himalayan Black Bear,Mammal,Ursus thibetanus,"Roar, long call",Territorial/Aggressive,
Sarus Crane variant 19,Bird,Grus antigone,Aggressive scolding,Aggression/Defense,
Saw-scaled Viper,Reptile,Echis carinatus,Slow low moan,Distress,in presence of human
House Sparrow variant 0,Bird,Passer domesticus,Bill-clacking,Threat,
House Sparrow,Bird,Passer domesticus,"Mimicry, learned sounds",Curiosity/Exploration,
Sandpiper variant 24,Bird,Scolopacidae sp.,"Chirp, cheep",Contact/Neutral,
Saltwater Crocodile variant 75,Reptile,Crocodylus porosus,Splash (aquatic),Startle/Escape,
Saw-scaled Viper variant 72,Reptile,Echis carinatus,Slow low moan,Distress,
Wild Ass,Mammal,Equus hemionus,Hiss,Threat/Avoidance,
Rusty-spotted Cat,Mammal,Prionailurus rubiginosus,Mating call (vocal),Courtship/Excited,during foraging
Golden Jackal,Mammal,Canis aureus,"Whine, whimper",Distress/Anxious,at dusk
Plover variant 23,Bird,Charadriidae sp.,"Chirp, cheep",Contact/Neutral,
Indian Peafowl variant 1,Bird,Pavo cristatus,Aggressive scolding,Aggression/Defense,
Common Kingfisher,Bird,Alcedo atthis,Bill-clacking,Threat,
Common Krait,Reptile,Bungarus caeruleus,Rattle (some species),Warning,near nesting site
Moorhen,Bird,Gallinula chloropus,Fleeing chatter,Fear/Escape,during mating display
Domestic Dog variant 58,Mammal,Canis familiaris,Chittering,Playful,in presence of human
Jungle Owlet,Bird,Glaucidium radiatum,Wing-flap displays,Excitement/Display,
Snow Leopard,Mammal,Panthera uncia,"Growl, snarl",Aggression,at dusk
Fantail Flycatcher,Bird,Rhipidura,"Mimicry, learned sounds",Curiosity/Exploration,
Indian Peafowl,Bird,Pavo cristatus,"Song, melodious trills",Courtship/Excited,during foraging
Indian Hare variant 49,Mammal,Lepus nigricollis,"Squeak, contact call",Contact/Neutral,near nesting site
Greater Coucal,Bird,Centropus sinensis,Fleeing chatter,Fear/Escape,at dawn
Barn Owl variant 14,Bird,Tyto alba,Aggressive scolding,Aggression/Defense,during foraging
Sambar Deer variant 40,Mammal,Rusa unicolor,"Roar, long call",Territorial/Aggressive,
Red Panda,Mammal,Ailurus fulgens,"Squeak, contact call",Contact/Neutral,
Indian Grey Hornbill variant 16,Bird,Ocyceros birostris,Mobbing calls,Group Alarm,near nesting site
Indian Pond Heron variant 9,Bird,Ardeola grayii,"Alarm call, harsh chips",Alarm/Alert,when separated from group
Saw-scaled Viper,Reptile,Echis carinatus,Hiss,Threat/Defense,
Rhesus Macaque,Mammal,Macaca mulatta,"Growl, snarl",Aggression,
Indian Hare,Mammal,Lepus nigricollis,Loud bawl,Distress/Alarm,
Indian Grey Hornbill,Bird,Ocyceros birostris,Soft contact calls,Content/Comfort,
Golden Eagle,Bird,Aquila chrysaetos,Distress squeal,Distress/Separation,
Sandpiper,Bird,Scolopacidae sp.,"Chirp, cheep",Contact/Neutral,
Olive Ridley Turtle,Reptile,Lepidochelys olivacea,Silent (body-language),Neutral/Calm,
Mugger Crocodile variant 74,Reptile,Crocodylus palustris,Breathing sound,Relaxed,in presence of human
Fantail variant 33,Bird,Rhipidura sp.,Mobbing calls,Group Alarm,near nesting site
Gharial variant 77,Reptile,Gavialis gangeticus,Jaw clack,Threat,at dusk
Honey Bee,Insect,Apis cerana,Low hum,Territorial,
Common Kingfisher variant 10,Bird,Alcedo atthis,"Chirp, cheep",Contact/Neutral,
Hanuman Langur,Mammal,Semnopithecus entellus,Loud bawl,Distress/Alarm,
White-throated Kingfisher,Bird,Halcyon smyrnensis,"Chirp, cheep",Contact/Neutral,when separated from group
Indian Elephant,Mammal,Elephas maximus indicus,Sniffing/grunting,Exploration/Foraging,
Garden Lizard,Reptile,Calotes versicolor,Breathing sound,Relaxed,at dusk
Eurasian Eagle-Owl variant 15,Bird,Bubo bubo,Bill-clacking,Threat,
Gaur,Mammal,Bos gaurus,Loud bawl,Distress/Alarm,
Black Drongo variant 12,Bird,Dicrurus macrocercus,Bill-clacking,Threat,
Indian Rock Python variant 68,Reptile,Python molurus,Low growl-like hiss,Alarm/Alert,
Indian Peafowl variant 1,Bird,Pavo cristatus,Purring or soft chatter,Affiliative/Relaxed,
Indian Palm Squirrel,Mammal,Funambulus palmarum,"Bark, woof",Alert/Excited,
Kangaroo,Mammal,Macropus,"Whine, whimper",Distress/Anxious,when separated from group
Indian Nightjar,Bird,Caprimulgus asiaticus,Mobbing calls,Group Alarm,
Indian Pangolin,Mammal,Manis crassicaudata,"Whine, whimper",Distress/Anxious,
Russell's Viper variant 71,Reptile,Daboia russelii,Vocal chirp (rare),Contact,at dawn
Garden Lizard variant 76,Reptile,Calotes versicolor,Rattle (some species),Warning,
Brown Palm Civet variant 67,Mammal,Paradoxurus jerdoni,Mating call (vocal),Courtship/Excited,
Indian Rock Python,Reptile,Python molurus,Splash (aquatic),Startle/Escape,
Indian Rock Python,Reptile,Python molurus,Hiss,Threat/Defense,
Hilsa,Fish,Tenualosa ilisha,Fleeing dash,Fear,
Arctic Fox,Mammal,Vulpes lagopus,"Growl, snarl",Aggression,
Indian Wolf variant 50,Mammal,Canis lupus pallipes,"Squeak, contact call",Contact/Neutral,near nesting site
Water Buffalo,Mammal,Bubalus bubalis,"Trumpet, rumble",Alarm/Excited,
Indian Grey Mongoose,Mammal,Herpestes edwardsii,"Bark, woof",Alert/Excited,
Cattle Egret,Bird,Bubulcus ibis,"Mimicry, learned sounds",Curiosity/Exploration,
Fishing Cat variant 60,Mammal,Prionailurus viverrinus,"Whine, whimper",Distress/Anxious,during foraging
Little Egret variant 31,Bird,Egretta garzetta,"Alarm call, harsh chips",Alarm/Alert,
Bengal Tiger,Mammal,Panthera tigris tigris,"Bark, woof",Alert/Excited,
Striped Hyena,Mammal,Hyaena hyaena,Hiss,Threat/Avoidance,during foraging
Dhole,Mammal,Cuon alpinus,"Purr, contented vocalization",Contentment/Relaxed,
Wild Ass,Mammal,Equus hemionus,Mating call (vocal),Courtship/Excited,during mating display
Sandpiper,Bird,Scolopacidae sp.,Purring or soft chatter,Affiliative/Relaxed,
Fantail,Bird,Rhipidura sp.,Distress squeal,Distress/Separation,
Indian Roller,Bird,Coracias benghalensis,Aggressive scolding,Aggression/Defense,
Indian Pangolin variant 48,Mammal,Manis crassicaudata,Hiss,Threat/Avoidance,
Woodpecker variant 18,Bird,Picidae sp.,Bill-clacking,Threat,
Common Kingfisher,Bird,Alcedo atthis,Fleeing chatter,Fear/Escape,when separated from group
Common Kingfisher variant 10,Bird,Alcedo atthis,"Alarm call, harsh chips",Alarm/Alert,
Indian Pond Heron variant 9,Bird,Ardeola grayii,"Song, melodious trills",Courtship/Excited,when threatened
Little Egret variant 31,Bird,Egretta garzetta,Aggressive scolding,Aggression/Defense,
Spoonbill,Bird,Platalea leucorodia,"Mimicry, learned sounds",Curiosity/Exploration,
Indian Wolf variant 50,Mammal,Canis lupus pallipes,"Growl, snarl",Aggression,
Domestic Cat variant 59,Mammal,Felis catus,Hiss,Threat/Avoidance,during mating display
Hanuman Langur variant 45,Mammal,Semnopithecus entellus,Loud bawl,Distress/Alarm,at dusk
Fishing Cat,Mammal,Prionailurus viverrinus,"Trumpet, rumble",Alarm/Excited,
Wild Ass,Mammal,Equus hemionus,"Squeak, contact call",Contact/Neutral,during mating display
Moorhen variant 26,Bird,Gallinula chloropus,Soft contact calls,Content/Comfort,
Red Junglefowl,Bird,Gallus gallus,Distress squeal,Distress/Separation,
Green Bee-eater variant 27,Bird,Merops orientalis,Aggressive scolding,Aggression/Defense,
Dhole variant 51,Mammal,Cuon alpinus,"Purr, contented vocalization",Contentment/Relaxed,
Great Indian Bustard,Bird,Ardeotis nigriceps,Aggressive scolding,Aggression/Defense,
Garden Lizard,Reptile,Calotes versicolor,Jaw clack,Threat,
White-throated Kingfisher variant 13,Bird,Halcyon smyrnensis,"Song, melodious trills",Courtship/Excited,
Wild Ass,Mammal,Equus hemionus,Sniffing/grunting,Exploration/Foraging,
Domestic Sheep variant 57,Mammal,Ovis aries,"Whine, whimper",Distress/Anxious,
Indian Flying Fox variant 47,Mammal,Pteropus giganteus,"Roar, long call",Territorial/Aggressive,during foraging
Cattle Egret variant 11,Bird,Bubulcus ibis,Bill-clacking,Threat,
Plover,Bird,Charadriidae sp.,Purring or soft chatter (variant),Affiliative/Relaxed,
Little Egret,Bird,Egretta garzetta,Soft contact calls,Content/Comfort,
Green Bee-eater,Bird,Merops orientalis,Bill-clacking,Threat,
Indian Vulture variant 28,Bird,Gyps indicus,Soft contact calls,Content/Comfort,
Mugger Crocodile variant 74,Reptile,Crocodylus palustris,Tongue-flick (non-vocal),Exploration,
Honey Bee,Insect,Apis cerana,Alarm buzzing,Alarm,when threatened
Jungle Owlet,Bird,Glaucidium radiatum,"Song, melodious trills",Courtship/Excited,
Saltwater Crocodile,Reptile,Crocodylus porosus,Breathing sound,Relaxed,
